First Name,Last Name,Gender,Team,Nationality,DOB,Engine,Gearbox,Brakes,Front Wing,Rear Wing,Suspension,Known Components,Wages,Contract Start,Contract End,Patience,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Potential,Improvement Rate,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Stars
Paddy,Lock,M,2,Ireland,08/04/1962,16.28,19.97,18.3,19.65,19.86,19.94,86;33;32;41;40,9.38,2015,2017,3,1,3,6,3,0,0,0,50,55,4,150,34,72,40,19,9,0,1529,2,4.75
Rachel,Adams,F,3,UK,26/12/1958,19.96,13.36,18.96,18.93,19.8,19.99,30;34;36;38;42,9.06,2015,2017,3,0,9,10,0,0,0,0,50,60,3,168,8,28,15,27,15,0,921,0,4.625
Pat,Russell,M,4,UK,11/06/1953,17.93,17.95,17.1,12.94,19.9,9.18,29;85;47;71,7.23,2015,2018,3,2,10,3,0,0,0,0,50,65,3,71,3,8,0,8,6,0,277,0,3.958333333
James,Kelly,M,5,UK,22/02/1968,13.24,17.3,17.78,19.95,18.88,17.85,86;32;44,8.44,2015,2018,2,1,3,11,1,0,3,0,50,50,2,21,0,0,0,5,2,0,10,0,4.375
Sarah,Kane,F,6,UK,28/02/1963,9.19,12.08,16.17,18.72,19.12,14.72,30;33;36;40,5.88,2014,2017,5,4,10,8,0,0,0,0,50,55,3,40,0,6,0,3,1,0,200,0,3.75
Andrew,Hawkins,M,7,UK,24/06/1965,17.03,19.26,6.65,12.02,18.74,16.3,35;36;38,5.88,2015,2018,5,4,11,3,0,0,0,23,50,55,5,214,11,39,16,31,16,0,970,0,3.75
Jim,Harris,M,8,UK,14/01/1972,17.73,16.25,6.75,17.08,19.34,3.85,46;41;40,3.44,2013,2017,4,2,4,9,0,0,11,14,48,55,2,141,40,68,45,21,10,0,1658,4,3.375
Moira,Lynch,F,9,UK,16/02/1985,10.86,18.27,11.95,18.98,19.95,15.99,86;85;66;45,7.5,2012,2017,3,1,6,7,0,0,10,0,35,50,3,215,20,77,16,45,14,0,1036,1,4
Eric,Rousseau,M,10,France,16/09/1973,13.72,17.82,19.97,8.85,13.4,16.24,29;34;37,5.88,2013,2018,1,0,6,9,0,1,0,20,95,54,3,237,32,97,22,35,24,0,1767,2,3.75
Jenny,Whitehouse,F,11,UK,03/08/1982,10.02,19.31,15.95,11.24,18.95,19.53,30;34;46;41,7.23,2015,2017,2,2,0,3,0,0,9,22,39,54,3,270,15,50,8,50,11,0,1198,1,3.958333333
Bernado,Dias,M,12,Portugal,08/05/1971,9.19,15.1,11.94,15.23,11.65,6.89,30;42,0.96,2015,2019,5,2,6,10,0,0,1,16,50,53,2,79,0,0,1,9,4,0,238,0,2.916666667
Scott,Moore,M,13,UK,23/04/1969,12.18,10.78,12.77,8.07,9.36,18.84,35;41;43,1,2015,2017,5,0,7,9,0,0,4,0,50,52,1,79,0,4,0,12,3,0,189,0,3
Callum,Hamilton,M,14,UnitedStates,25/02/1987,7.81,11.78,12.34,16.84,6.28,15.95,86;85;36,0.98,2015,2019,1,1,5,11,3,0,1,45,63,50,4,2,0,0,0,1,1,0,6,0,2.958333333
Clark,Evans,M,15,UK,25/06/1970,16.99,6.94,18.04,14.78,15.14,8.11,30;48;36,3.17,2013,2018,4,1,11,3,0,0,11,0,50,54,4,2,0,0,0,0,0,0,6,0,3.333333333
Roman,Vasiliev,M,16,RussianFederation,06/05/1986,13.25,7.94,5.22,8.98,6.82,12.79,86;85,0.65,2014,2019,5,4,3,10,0,0,0,15,17,55,3,66,0,9,0,20,12,0,236,0,2.291666667
Dennis,Ozanne,M,17,France,18/05/1987,8.17,13.08,3.18,10.72,6.02,8.83,30,0.54,2014,2017,1,0,6,7,1,0,0,6,13,65,2,79,1,1,1,20,16,0,49,0,2.083333333
Danielle,Swanepoel,F,18,SouthAfrica,25/10/1975,9.65,16.26,12.21,7.86,5.98,17.04,85,0.94,2010,2018,2,0,8,9,0,0,0,14,50,65,3,18,0,0,0,6,3,0,4,0,2.875
Marlon,Fabbri,M,19,Italy,20/11/1969,12.81,5.85,7.76,10.28,19.18,10.12,29;48,0.88,2014,2020,1,0,10,0,0,0,8,0,50,65,1,2,0,0,0,0,0,0,10,0,2.75
Leonardo,Crespo,M,20,Italy,26/01/1968,3.01,7.16,1.67,10.32,2.99,3.85,38,0.18,2010,2018,2,0,1,11,2,0,10,0,50,63,2,2,0,0,0,0,0,2,0,0,1.208333333
Philipp,Wolf,M,21,Germany,19/12/1967,4.35,7.18,15.79,4.75,1.75,5.18,48;47,0.35,2012,2018,4,0,3,8,3,0,2,52,50,62,2,2,0,0,0,0,0,2,0,0,1.625
Roxanne,Barnard,F,22,UnitedStates,04/10/1972,6.74,14.12,9.23,14.5,12.22,14.19,85;46,0.98,2015,2019,4,0,5,9,0,0,0,0,50,62,1,0,0,0,0,0,0,0,0,0,2.958333333
Nahuel,Joshi,M,23,India,24/04/1961,19.33,8.11,13.75,14.06,16.76,16.99,48;46;38,5.6,2013,2017,5,1,6,1,1,0,0,0,50,65,2,19,0,0,0,5,3,0,4,0,3.708333333
Mary,Dutost,F,24,Canada,22/05/1966,4.03,6.27,12.29,6.68,9.02,1.71,82;43,0.37,2015,2017,2,1,2,7,0,0,11,17,50,62,1,0,0,0,0,0,0,0,0,0,1.666666667
Niko,Nylund,M,25,Finland,15/06/1969,10.21,3.68,3.11,0.83,8.18,1.99,45,0.17,2015,2018,3,5,4,8,0,0,0,10,50,54,4,1,0,0,0,0,0,0,6,0,1.166666667
Kieran,Belkus,M,26,UK,23/03/1987,6.9,7.6,7.3,9.97,9.14,12.09,80;81;82,0.6,2015,2020,3,0,6,6,0,0,0,5,80,55,3,2,0,0,0,2,1,0,0,0,2.208333333
Mariana,Romero,F,27,Brazil,14/05/1988,1.29,2.11,2.96,17.95,0.81,2.88,85,0.17,2014,2017,4,4,0,6,0,0,0,60,77,65,3,0,0,0,0,0,0,0,0,0,1.166666667
Jia,Rén,M,28,China,13/09/1980,4.85,6.76,8,4.07,10.21,6.11,71,0.37,2013,2017,4,5,6,9,0,0,4,47,75,62,1,0,0,0,0,0,0,0,0,0,1.666666667
Charlotte,Williams,F,29,Australia,11/07/1987,5.92,4.06,0.92,4.27,1.06,6.77,29;34;47,0.1,2015,2018,1,0,10,9,1,0,10,35,49,62,2,4,0,0,0,1,1,0,0,0,0.9583333333
Peter,O'Sullivan,M,30,UnitedStates,30/04/1974,10.27,6.92,3.82,1.29,6.05,0.65,30;35;36,0.18,2014,2020,3,1,9,11,0,0,4,0,50,65,2,1,0,0,0,0,0,0,0,0,1.208333333
Günther,Ziegler,M,31,Germany,24/02/1975,12,8.69,8.02,10.09,6.44,12.76,29;85;66,0.71,2015,2017,3,1,7,11,0,0,0,0,50,66,3,0,0,0,0,0,0,0,0,0,2.416666667
Claire,White,F,32,UK,11/05/1979,18.27,10.77,16.31,9.88,19.89,14.88,29;33;37;41;40,5.88,2015,2017,1,1,7,2,0,0,0,0,50,60,4,55,2,4,3,0,0,0,432,0,3.75
Fredrick,Kelley,M,33,Austria,25/06/1982,14.23,19.14,13.06,10.07,18.65,6.85,29;33;38,3.71,2014,2017,3,5,1,8,1,0,0,40,56,55,5,46,1,4,0,0,0,0,234,0,3.416666667
Consuelo,Vivas,F,34,Spain,09/04/1987,17.34,14.17,15.74,13.98,13.93,13.84,38;42,5.6,2016,2018,4,3,6,9,0,0,0,0,50,60,3,27,3,8,0,8,6,0,127,0,3.708333333
John,O'Brien,M,35,UK,01/08/1982,17.76,15.96,10.01,12.11,16.29,11.87,85;36;71,4.25,2015,2017,5,0,6,11,0,0,9,0,50,60,2,56,1,7,0,0,0,0,43,0,3.5
Mitchell,Abrahams,M,36,SouthAfrica,25/02/1980,11.13,9.27,17.76,18.76,9.77,19.31,30;32,4.79,2015,2017,2,2,0,11,0,0,0,16,23,55,4,43,2,5,0,0,0,0,35,0,3.583333333
Braylen,Stockwell,M,37,UK,22/02/1980,10.14,9.19,19.15,17.66,2.96,19.9,65;47,2.9,2015,2017,1,1,6,7,0,0,0,15,66,60,3,33,11,39,16,31,16,0,970,0,3.291666667
Anna,Navarre,F,38,Austria,14/02/1979,15.21,14.68,12.25,8.9,4.08,12.88,48;66;41,0.92,2016,2018,5,1,4,2,0,0,0,10,70,60,1,54,0,4,0,0,0,0,54,0,2.833333333
Karen,Jones,F,39,UnitedStates,20/05/1985,1.34,8.25,11.29,8.71,10.2,17.75,84;85;67;43,0.7,2015,2017,4,1,1,8,0,0,0,3,50,60,3,46,0,4,0,0,0,0,0,0,2.3975
Peter,Dunphy,M,40,UnitedStates,15/02/1984,4.02,2.25,9.88,3.26,2.85,8.74,30;48,0.22,2015,2017,5,1,1,1,0,0,7,0,50,60,4,33,0,3,0,0,0,0,0,0,1.291666667
Alesky,Kowalski,M,41,Poland,23/09/1963,7.96,8.96,10.43,8.12,5.84,10.69,35;37;45,0.58,2015,2017,4,4,0,10,0,0,0,0,50,60,4,13,2,2,0,0,0,0,0,0,2.166666667
Andrea,Bosco,F,42,Italy,06/05/1970,7.95,7.77,11,5.3,16.86,10.12,42,0.73,2016,2018,3,2,2,5,0,0,0,0,50,60,5,16,0,1,0,0,0,0,0,0,2.458333333
Nikhil,Doublet,M,43,France,13/10/1973,17.93,15.33,10.96,6.4,7.26,12.12,36;38,0.96,2014,2017,5,0,5,11,0,0,0,0,50,60,5,12,0,4,0,0,0,0,0,0,2.916666667
Charlotte,Barker,F,44,UK,19/03/1973,13.65,11.73,11.29,9.04,14.04,11.25,86;66;67,0.98,2015,2017,5,0,10,9,0,0,2,0,50,60,5,31,0,0,0,0,0,0,0,0,2.958333333
Reginald,Bristow,M,45,UK,04/06/1976,11.72,10.35,10.02,11.84,9.3,11.77,37,0.85,2015,2016,5,1,4,9,0,0,0,25,87,60,5,32,0,5,0,0,0,0,0,0,2.708333333
Ruby,Smith,F,46,UnitedStates,21/12/1982,18.65,8.12,2.21,9.92,17.78,10.32,34;37;45,0.9,2015,2017,5,5,5,7,0,0,2,40,62,60,5,5,0,3,0,0,0,0,0,0,2.791666667
Ibrahim,Croshaw,M,47,UK,11/10/1972,11.2,11.8,10.21,13.96,13.19,11.64,30;35;37;38;42,1,2015,2016,1,2,3,5,0,0,0,0,50,65,5,14,0,0,0,0,0,0,0,0,3
Mia,Keller,F,48,Germany,22/05/1964,3.97,10.88,12.04,4.97,5.06,18.08,48;40,0.65,2015,2017,3,1,4,2,1,0,0,0,50,65,4,12,0,0,0,0,0,0,0,0,2.291666667
Kai,Henriksen,M,49,Denmark,26/06/1969,3.96,6.29,4.34,8.86,16.9,13.65,86;46,0.63,2014,2017,3,1,2,11,0,0,0,0,50,65,4,2,0,0,0,1,0,0,0,0,2.25
Isai,Nolde,M,50,Sweden,08/05/1987,8.13,4.76,2.04,2.27,4.15,9.65,84;85,0.22,2015,2016,5,2,1,1,0,0,10,25,70,55,5,1,0,0,0,0,0,2,0,0,1.291666667
Laura,Jackson,F,51,UK,09/01/1980,1.92,0.87,2.13,5.1,2.66,19.32,29;36;41,0.23,2015,2016,5,1,1,7,0,0,0,11,70,60,1,0,0,0,0,0,0,2,0,0,1.333333333
Ian,Brown,M,52,UK,24/12/1980,19.13,16.08,8.22,2.84,15.97,14.76,89;101,2.35,2015,2016,2,1,8,8,0,0,2,13,61,60,3,0,0,0,0,0,0,0,0,0,3.208333333
Anne,Ouinville,F,53,France,30/05/1973,12.2,18.11,16.22,13.74,13.86,15.83,43,5.86,2015,2016,5,0,4,10,0,0,0,0,50,60,5,19,0,0,0,5,3,0,4,0,3.748333333
Lilith,Koskinen,F,54,Finland,10/05/1962,5.24,16.01,17.1,3.96,5.96,15.73,30;32;71,0.83,2015,2016,3,1,1,10,0,0,0,0,50,60,1,0,0,0,0,0,0,0,0,0,2.666666667
Freddie,Cooper,M,55,UK,13/10/1963,19.01,18.23,19,2.9,1.13,2.73,65;66;67,0.81,2015,2016,1,1,2,11,0,0,5,0,50,54,2,1,0,0,0,0,0,0,6,0,2.625
Paul,Trenoweth,M,56,Australia,09/04/1988,6.21,12.04,19.95,11.78,13.23,16.79,36;71,3.17,2015,2016,1,1,7,7,0,0,0,0,61,48,1,2,0,0,0,2,1,0,0,0,3.333333333
Karina,Rider,F,57,Denmark,10/08/1985,11.08,8.09,12.16,12.71,15.03,13.93,29;33,1.27,2015,2016,5,1,1,3,0,0,0,13,50,49,5,0,0,0,0,0,0,0,0,0,3.041666667
Wayne,Bellows,M,58,UK,07/11/1975,14.25,12.88,10.33,3.77,5.79,18.98,38,0.88,2015,2016,5,0,6,7,0,0,0,0,50,49,2,0,0,0,0,0,0,0,0,0,2.75
Katie,Paulson,F,59,UK,23/10/1974,17.14,15.66,8.19,2.06,0.79,9.16,32;38,0.6,2015,2016,1,1,0,10,0,0,0,0,50,55,1,4,0,0,0,1,1,0,0,0,2.208333333
Bradley,Spier,M,60,UK,11/12/1984,6.18,4.95,7.03,1.93,2.19,3.72,41;42,0.13,2015,2016,5,4,6,6,1,0,2,0,50,57,4,1,0,0,0,0,0,0,0,0,1.083333333
Sip,Jung Ah,F,61,SouthKorea,15/05/1976,6.26,7.21,5.66,12.68,10.93,7.26,33;36,0.54,2015,2016,1,4,6,6,1,0,0,0,50,60,5,0,0,0,0,0,0,0,0,0,2.083333333
Keiji,Fujiwara,M,62,Japan,04/03/1978,1.1,2.18,2.88,18.85,19.13,2.86,42,0.48,2015,2016,3,1,7,0,0,1,2,0,50,60,1,0,0,0,0,0,0,0,0,0,1.958333333
Luke,Savage,M,63,UK,15/02/1973,15.2,9.95,9.99,9.01,16.54,11.31,48;47,1,2015,2016,5,1,10,2,0,0,0,0,50,60,2,0,0,0,0,0,0,0,0,0,3
Ephraim,Puçi,M,64,SouthAfrica,02/09/1978,18.7194,19.5,12.0379,12.8782,14.7604,14.1809,29;34;37;67,3.62,2016,2018,3,1,1,10,0,0,0,16,28,59,4,,,,,,,,,,3.8365
Paul,Kuka,M,65,Australia,13/04/1963,19.5,19.5,19.5,12.9672,18.4003,19.5,29;47;43,3.65,2016,2018,3,4,3,8,0,0,8,31,65,48,4,,,,,,,,,,4.557
Jiansong,Magani,M,66,China,30/08/1970,11.2661,16.672,12.0045,9.3578,16.2695,5.1798,30;85,0.54,2015,2016,3,2,4,1,0,0,10,11,89,44,2,,,,,,,,,,2.9479
Timur,Qara,M,67,Kazakhstan,14/10/1988,10.7896,10.5257,7.9796,5.8584,5.7791,9.6103,30;65;37;101,0.41,2014,2016,3,3,1,9,0,0,10,6,54,53,4,,,,,,,,,,2.1059
Yelong,Çoba,M,68,China,24/05/1991,6.576,0.5,4.7834,0.5,12.9098,11.2623,29;89;66,0.28,2015,2017,2,0,0,3,0,0,0,21,46,58,4,,,,,,,,,,1.5221
Kaspars,Harka,M,69,Latvia,31/01/1988,6.6649,2.632,10.2123,3.118,3.5516,0.56869,30;81,0.28,2015,2016,3,5,2,9,0,0,4,26,57,64,1,,,,,,,,,,1.1145
Jhon,Bouraba,M,70,Indonesia,29/03/1981,9.1095,14.2803,14.6416,15.0586,16.2109,12.9588,30;67,0.88,2014,2016,5,4,3,10,0,0,2,34,85,72,1,,,,,,,,,,3.4275
