First Name,Last Name,Gender,Team,Car,Nationality,DOB,Reliability,Performance,Concentration,Chemistry,Pit Stops,Part Fixes,Wages,Mechanic Bonuses,Relationship With Driver,Weeks Together,Contract Start,Contract End,Patience,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Potential,Improvement Rate,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Stars
Jeffrey,Bacheler,M,2,1,UK,24/09/1976,18.09,17.5,17.44,19.85,19.3,19.82,3.67,10;15,4,2,2015,2017,1,1,9,9,0,0,0,16,38,55,2,150,34,72,40,19,9,0,1529,2,4.666666667
Aron,Schaffer,M,2,2,Germany,26/01/1982,9.09,12.95,19.15,17.06,15.86,14.89,0.85,2;14,100,94,2015,2019,2,1,3,5,0,0,3,19,45,54,2,168,8,28,15,27,15,0,921,0,3.708333333
Darian,Frichet,M,3,1,France,24/02/1963,19.92,19.04,18.74,19.02,16.07,17.21,3.33,13;19,32,12,2015,2017,4,1,7,6,1,0,5,0,50,55,4,71,3,8,0,8,6,0,277,0,4.583333333
Tom,van Zanten,M,3,2,Netherlands,26/06/1961,17.92,18.76,16.2,16.86,17.3,14.96,2,3;18,100,120,2015,2018,4,0,8,2,0,0,0,0,50,56,3,21,0,0,0,5,2,0,10,0,4.25
Scarlett,Harrison,F,4,1,UK,01/05/1976,12.19,19.94,11.98,16.92,19.06,12.91,0.94,4;17,22,16,2015,2020,1,0,10,1,1,1,0,0,50,50,3,40,0,6,0,3,1,0,200,0,3.875
Darryl,Sparrow,M,4,2,UK,27/01/1976,14.86,16.21,19.8,11.3,19.98,19.85,2,1;21,65,45,2015,2020,1,0,3,2,0,0,5,4,56,51,2,214,11,39,16,31,16,0,970,0,4.25
Abi,Hamilton,F,5,1,UK,22/12/1977,16.85,16.24,13.22,13.78,13.02,18.89,0.92,7;20,19,10,2014,2019,3,0,3,8,0,0,11,20,40,50,4,141,40,68,45,21,10,0,1658,4,3.833333333
Griffin,Clark,M,5,2,UnitedStates,13/07/1975,16.9,17.84,17.2,16.09,11,19.97,1.5,9;18,100,67,2015,2018,2,0,8,7,2,0,1,0,50,54,4,215,20,77,16,45,14,0,1036,1,4.125
Donald,Stream,M,6,1,UnitedStates,18/01/1975,9.17,8.14,6.72,16.17,17.03,18.77,0.58,10;17,72,38,2015,2017,4,1,5,5,0,0,4,14,65,53,4,237,32,97,22,35,24,0,1767,2,3.166666667
Richard,Sherman,M,6,2,UK,09/06/1961,9.92,12.96,11.18,17.92,7.86,16.16,0.58,3;20,5,4,2015,2018,5,0,10,6,0,0,1,0,50,57,3,270,15,50,8,50,11,0,1198,1,3.166666667
Valentin,Fiske,M,7,1,UK,18/11/1978,18.94,16.27,12.86,16.83,18.87,18.23,2,13;15,43,45,2014,2017,1,0,10,6,0,0,1,0,50,66,3,79,0,0,1,9,4,0,238,0,4.25
Emerson,Hystand,M,7,2,Sweden,04/09/1989,17.7,18.09,14.15,18.93,10.9,17.23,1.17,8;18,100,86,2015,2017,3,0,2,7,3,1,3,23,25,61,1,79,0,4,0,12,3,0,189,0,4.041666667
Ali,Laekens,F,8,1,Denmark,14/11/1986,19.15,13.77,9.76,7.03,11.99,4.3,0.44,2;19,27,15,2015,2019,2,0,7,4,0,0,0,19,38,60,1,2,0,0,0,1,1,0,6,0,2.75
Santos,Germaine,M,8,2,France,19/10/1965,11.03,10.3,15.22,10.84,15.98,19.63,0.73,12;21,38,20,2014,2017,1,4,11,5,0,1,2,0,50,61,3,2,0,0,0,0,0,0,6,0,3.458333333
Yusuf,Cannon,M,9,1,UK,19/09/1974,13.83,10.8,10.28,15.74,12.11,4.24,0.45,4;20,2,3,2015,2017,2,0,10,9,0,0,6,0,50,62,3,66,0,9,0,20,12,0,236,0,2.791666667
Ant,Skilton,M,9,2,UK,04/02/1967,17.25,16.71,17.13,16.96,17.99,7.96,0.96,1;20,100,160,2015,2018,4,1,7,6,3,0,1,0,50,64,2,79,1,1,1,20,16,0,49,0,3.916666667
