First Name,Last Name,Gender,Team,Nationality,DOB,Drivers,Engineers,Mechanics,Favoured Location,Wages,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Peak Age,Peak Duration
Caiden,McCausland,M,2,UnitedStates,15/08/1996,16,16,18,UK,0.2,1,6,6,0,0,0,55,4
Johan,Monet,M,3,France,17/08/1960,17,9,12,France,0.2,1,5,9,0,0,0,55,4
Christina,Joghimsen,F,4,Denmark,15/11/1993,20,14,5,Italy,0.2,0,7,5,0,0,0,55,4
Anna,Hale,F,5,UK,22/04/1991,15,16,16,Germany,0.2,2,7,0,1,0,0,55,4
Alejandro,Jorda,M,6,Spain,31/01/1989,19,5,12,UK,0.2,4,4,6,0,0,4,55,4
Rodrigo,Martinez,M,7,Argentina,27/02/1985,6,12,13,Japan,0.2,2,2,1,1,0,5,55,4
Sage,Decker,M,8,UnitedStates,20/04/1983,6,18,17,Argentina,0.2,3,5,8,1,0,0,55,4
Gauge,Glen,M,9,UK,07/03/1972,5,15,12,Brazil,0.2,3,6,9,0,0,0,55,4
Gwyneth,Marsh,F,10,UK,16/05/1989,19,13,5,Germany,0.2,0,3,8,1,0,0,55,4
Elias,Owsley,M,11,RussianFederation,25/01/1972,12,9,11,UK,0.2,5,6,11,0,0,0,55,4
Pedro,Seixas,M,12,Portugal,19/04/1965,11,5,20,Sweden,0.2,2,1,11,0,0,0,55,4
Ryan,Forbes,M,13,UnitedStates,29/10/1989,17,11,17,UnitedStates,0.2,2,4,8,0,0,4,55,4
Olivia,Howes,F,14,Spain,01/04/1975,11,10,6,UnitedStates,0.2,2,4,9,1,0,0,55,4
Lukas,Cusson,M,15,France,22/06/1991,9,5,20,Japan,0.2,4,7,6,0,0,5,55,4
Carla,Jernegan,F,16,Germany,05/12/1975,5,7,15,Korea,0.2,1,6,9,0,0,0,55,4
Vincenzo,Field,M,17,Germany,20/08/1974,12,5,9,NewZealand,0.2,2,7,10,0,0,0,55,4
Christine,Graveson,F,18,Denmark,30/07/1961,7,9,17,Australia,0.2,1,7,4,0,0,0,55,4
Mason,O'Kyan,M,19,Japan,14/06/1980,8,14,10,Finland,0.2,0,1,8,0,0,0,55,4
Jude,Bourdeau,M,20,China,18/01/1995,20,14,19,Austria,0.2,2,7,2,1,0,0,55,4
Kayden,Glenn,M,21,Australia,17/12/1966,20,6,19,Australia,0.2,0,2,11,0,0,0,55,4
Remington,Doucet,M,22,UK,24/04/1978,10,5,16,Finland,0.2,4,0,9,0,0,0,55,4
Wilma,Fiske,F,23,Australia,19/12/1960,15,8,14,Mexico,0.2,3,7,7,0,0,0,55,4
Casey,Leech,F,24,NewZealand,21/08/1979,17,6,9,Poland,0.2,2,6,2,0,0,0,55,4
Kellen,Laekens,M,25,Sweden,15/11/1964,19,20,8,Venezuela,0.2,2,6,4,0,0,4,55,4
Junior,Daniels,M,26,UK,07/07/1993,8,8,9,Switzerland,0.2,2,1,1,0,0,0,55,4
Gustavo,Couto,M,27,Brazil,20/08/1964,14,11,14,Colombia,0.2,5,1,11,0,0,0,55,4
Matthias,Spanjard,M,28,France,03/07/1960,7,5,20,SouthAfrica,0.2,4,7,11,0,0,0,55,4
Aaron,Burgess,M,29,Australia,04/04/1996,18,7,6,Sweden,0.2,0,6,7,0,0,0,55,4
David,Wildey,M,30,UK,07/05/1980,15,13,17,Finland,0.2,0,3,5,0,0,0,55,4
Francine,Summers,F,31,UK,24/10/1973,15,7,16,UK,0.2,1,0,8,0,0,0,55,4
Nathanial,Golty,M,32,UnitedStates,02/04/1977,11,18,13,UK,0.2,1,0,6,0,0,3,55,4
Sterling,Schultz,M,33,UK,30/06/1990,12,10,6,Canada,0.2,0,4,7,0,0,4,55,4
