First Name,Last Name,Gender,Team,Status,Car,Nationality,DOB,Traits,Fame,Scouting Level,Weight,Wages,Contract End,Contract Start,Qualifying Bonus Amount,Qualifying Bonus Position,Race Bonus Amount,Race Bonus Position,Champion Bonus,Pay Driver,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Optimal Zone,Driving Style,Driver Number,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Form,Experience,Morale,Obedience,Potential,Patience,Chairman Popularity,Fans Popularity,Sponsor Popularity,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Body Type,Hat,Helmet Style,Helmet Primary Colour,Helmet Secondary Colour,Helmet Tertiary Colour,Marketability,Brake Supplier Preference,Improvement Rate,Peak Duration,Peak Age,Desired Championships,Desired Wins,Desired Earnings,Desired Budget,Stars,Series Preference,Reward ID
Harry,Chapman,M,2,Equal,,UK,07/01/1985,45; 29; 112; 290,0,0,64,16.44,2016,2014,0.25,1,0.25,3,0,0,19.7,19.1,17.4,19.4,19.8,17.75,17.9,17.2,18.95,0.88,94,44,150,34,72,40,19,9,0,1529,2,9;8;9;7;9,100,60,74,8,2,69,85,72,5,2,8,1,0,0,0,2,0,3,5,9,100,4,20,1,33,3,2,100,100,4.644444444,SingleSeaterSeries,
Nina,Holtz,F,2,Equal,,Germany,27/06/1985,1;19; 171; 169,0,0,69,11.88,2017,2015,0,,0.1,1,0,0,16.75,17.9,16.8,15.3,19.3,12.2,16.5,17.8,18.2,0.79,35,6,168,8,28,15,27,15,0,921,0,8;7;9;7;6,100,29,61,9,3,56,98,56,1,2,6,0,0,5,0,14,0,9,10,10,97,4,35,2,32,2,2,200,100,4.1875,SingleSeaterSeries,
Zoe,Sharp,F,3,One,,Australia,01/07/1989,14; 5; 1; 156,0,0,66,16.64,2017,2015,0.25,1,0.25,1,0,0,18.8,18.05,16.4,19.12,19.6,19.8,18.5,18,19.65,0.45,56,3,71,3,8,0,8,6,0,277,0,9;9;7;8;6,100,65,15,15,3,89,47,45,1,4,3,0,0,7,0,2,0,7,4,5,94,5,33,3,30,3,3,200,100,4.664444444,SingleSeaterSeries,
Nicolai,Surikov,M,3,Two,,RussianFederation,26/04/1994,22; 13; 166; 167,0,0,70,9.16,2017,2015,0.06,3,0.06,1,0,0,16.25,17.9,15.5,14.3,18.4,13.3,15.2,12.7,14.4,0.4,71,26,21,0,0,0,5,2,0,10,0,6;8;7;8;7,100,65,86,43,5,100,60,16,0,2,6,3,0,5,0,8,0,0,3,2,44,2,41,4,28,2,3,100,100,3.831944444,SingleSeaterSeries,
Aki,Lipponen,M,4,Equal,,Finland,28/08/1989,8; 3; 82; 204,0,0,72,12.73,2016,2016,0.07,3,0.06,2,0,0,18.56,17.1,15.15,17.9,17.3,16.15,15.8,17.2,18.68,0.6,59,77,40,0,6,0,3,1,0,200,0,8;8;8;6;7,100,25,71,25,4,99,99,10,1,3,2,0,0,0,0,5,0,4,5,9,30,3,25,2,32,1,5,200,100,4.273333333,SingleSeaterSeries,
Ana,Oliveira,F,4,Equal,,Brazil,25/04/1981,26; 53; 35; 213; 271,0,0,68,10.46,2016,2015,0,,0,,0,0,15.45,19.23,18.1,15.8,16.3,15,14.67,17.9,13.2,0.41,3,19,214,11,39,16,31,16,0,970,0,9;5;7;4;7,100,34,90,0,2,47,72,57,3,4,7,0,0,1,0,16,0,3,6,0,76,5,50,3,32,2,4,300,100,4.045833333,SingleSeaterSeries; EnduranceSeries,
Dieter,Wexler,M,5,One,,Germany,03/07/1987,1; 67; 82; 172,1,0,70,15.01,2018,2015,0,,,2,0,0,19.1,19.5,17.86,16.75,18.98,16.23,15.8,18.73,19.1,0.43,15,5,141,40,68,45,21,10,0,1658,4,9;6;7;4;10,100,45,15,18,2,73,14,18,0,3,6,0,0,11,0,8,0,2,5,9,95,2,56,1,31,2,3,500,100,4.501388889,SingleSeaterSeries,
Niilo,Saarinen,M,5,Two,,Finland,17/10/1979,15; 19; 45; 260; 209,1,0,69,13.38,2016,2015,0,,0.065,3,0,0,17.3,17,16.5,17.96,17.6,18.8,18.9,12.1,20,0.62,92,7,215,20,77,16,45,14,0,1036,1,8;6;9;5;9,100,64,32,0,3,72,1,40,0,1,1,1,0,0,0,12,0,6,6,10,4,4,92,3,35,1,4,100,100,4.337777778,SingleSeaterSeries,
Javier,Vázquez,M,6,One,,Spain,29/07/1981,51; 34; 145; 211; 270,0,0,63,16.76,2017,2016,0.2,3,0.2,3,0,0,20,19.1,16.3,17.9,18.1,19.95,17.6,20,19.4,0.83,14,14,237,32,97,22,35,24,0,1767,2,6;8;7;9;6,100,65,78,0,3,57,51,48,1,2,8,3,0,5,0,2,0,7,0,3,66,4,66,2,31,2,2,100,100,4.676388889,SingleSeaterSeries; EnduranceSeries,
Jenny,North,F,6,Two,,UK,19/01/1980,10; 69; 78; 198,0,0,64,13.14,2016,2014,0.08,1,0.065,3,0,0,17.12,17.98,20,15.2,18.1,14.3,16.8,17.6,18.2,0.42,39,22,270,15,50,8,50,11,0,1198,1,4;6;8;7;8,100,60,87,0,4,49,62,93,0,4,6,1,0,5,0,2,0,3,5,4,91,1,86,2,31,2,2,0,100,4.313888889,SingleSeaterSeries; EnduranceSeries,
